推广创意,ID,推广计划,推广单元,计划类型,状态,创意图片,商品SKU,落地页地址,到期时间,创意尺寸,展现数,点击数,点击率(%),总费用,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,直接购物车数,间接购物车数,总购物车数,转化率(%),ROI,CPA,资源位,
10029156564197-智能手环,3624480357,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564197,https://item.jd.com/10029156564197.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,商品,
10029156564198-智能手环,3624480355,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564198,https://item.jd.com/10029156564198.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,汇总,
10029156564198-智能手环,3624480355,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564198,https://item.jd.com/10029156564198.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10029156564198-智能手环,3624480355,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564198,https://item.jd.com/10029156564198.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
10029156564198-智能手环,3624480355,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564198,https://item.jd.com/10029156564198.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,商品,
10023598620632-智能手环,3596599576,华为手环B6,华为手环B6,商品,有效,jfs/t1/158865/14/16407/170497/6066ec81Ef8308730/63441d8174719236.jpg,10023598620632,https://item.jd.com/10023598620632.html,不限,350×350,4,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,汇总,
10023598620632-智能手环,3596599576,华为手环B6,华为手环B6,商品,有效,jfs/t1/158865/14/16407/170497/6066ec81Ef8308730/63441d8174719236.jpg,10023598620632,https://item.jd.com/10023598620632.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10023598620632-智能手环,3596599576,华为手环B6,华为手环B6,商品,有效,jfs/t1/158865/14/16407/170497/6066ec81Ef8308730/63441d8174719236.jpg,10023598620632,https://item.jd.com/10023598620632.html,不限,350×350,3,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
10023598620632-智能手环,3596599576,华为手环B6,华为手环B6,商品,有效,jfs/t1/158865/14/16407/170497/6066ec81Ef8308730/63441d8174719236.jpg,10023598620632,https://item.jd.com/10023598620632.html,不限,350×350,1,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,商品,
10023598620633-智能手环,3596599573,华为手环B6,华为手环B6,商品,有效,jfs/t1/167405/36/17660/168037/6066ec89E6bb8d98e/50c4eef5a6cee410.jpg,10023598620633,https://item.jd.com/10023598620633.html,不限,350×350,239,8,3.35,8.16,34.14,1.02,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,汇总,
10023598620633-智能手环,3596599573,华为手环B6,华为手环B6,商品,有效,jfs/t1/167405/36/17660/168037/6066ec89E6bb8d98e/50c4eef5a6cee410.jpg,10023598620633,https://item.jd.com/10023598620633.html,不限,350×350,9,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10023598620633-智能手环,3596599573,华为手环B6,华为手环B6,商品,有效,jfs/t1/167405/36/17660/168037/6066ec89E6bb8d98e/50c4eef5a6cee410.jpg,10023598620633,https://item.jd.com/10023598620633.html,不限,350×350,200,6,3.00,6.94,34.70,1.16,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
10023598620633-智能手环,3596599573,华为手环B6,华为手环B6,商品,有效,jfs/t1/167405/36/17660/168037/6066ec89E6bb8d98e/50c4eef5a6cee410.jpg,10023598620633,https://item.jd.com/10023598620633.html,不限,350×350,30,2,6.67,1.22,40.67,0.61,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,商品,
10023598620630-智能手环,3596599570,华为手环B6,华为手环B6,商品,有效,jfs/t1/160366/16/16191/164976/6066ec72Edb7cf461/0b59e5b0ce78e677.jpg,10023598620630,https://item.jd.com/10023598620630.html,不限,350×350,20,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,汇总,
10023598620630-智能手环,3596599570,华为手环B6,华为手环B6,商品,有效,jfs/t1/160366/16/16191/164976/6066ec72Edb7cf461/0b59e5b0ce78e677.jpg,10023598620630,https://item.jd.com/10023598620630.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10023598620630-智能手环,3596599570,华为手环B6,华为手环B6,商品,有效,jfs/t1/160366/16/16191/164976/6066ec72Edb7cf461/0b59e5b0ce78e677.jpg,10023598620630,https://item.jd.com/10023598620630.html,不限,350×350,7,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
10023598620630-智能手环,3596599570,华为手环B6,华为手环B6,商品,有效,jfs/t1/160366/16/16191/164976/6066ec72Edb7cf461/0b59e5b0ce78e677.jpg,10023598620630,https://item.jd.com/10023598620630.html,不限,350×350,13,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,商品,
10023598620631-智能手环,3596599568,华为手环B6,华为手环B6,商品,有效,jfs/t1/166320/36/16216/176248/6066ec7aE1c3bd923/a7c0d13dfb13af05.jpg,10023598620631,https://item.jd.com/10023598620631.html,不限,350×350,318,10,3.14,9.59,30.16,0.96,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,汇总,
10023598620631-智能手环,3596599568,华为手环B6,华为手环B6,商品,有效,jfs/t1/166320/36/16216/176248/6066ec7aE1c3bd923/a7c0d13dfb13af05.jpg,10023598620631,https://item.jd.com/10023598620631.html,不限,350×350,1,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10023598620631-智能手环,3596599568,华为手环B6,华为手环B6,商品,有效,jfs/t1/166320/36/16216/176248/6066ec7aE1c3bd923/a7c0d13dfb13af05.jpg,10023598620631,https://item.jd.com/10023598620631.html,不限,350×350,285,8,2.81,8.28,29.05,1.04,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
10023598620631-智能手环,3596599568,华为手环B6,华为手环B6,商品,有效,jfs/t1/166320/36/16216/176248/6066ec7aE1c3bd923/a7c0d13dfb13af05.jpg,10023598620631,https://item.jd.com/10023598620631.html,不限,350×350,32,2,6.25,1.31,40.94,0.66,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,商品,
10023598620629-智能手环,3596599565,华为手环B6,华为手环B6,商品,有效,jfs/t1/166226/9/16059/162150/6066ec6cE01a59ecf/f62cd238c4c663f1.jpg,10023598620629,https://item.jd.com/10023598620629.html,不限,350×350,111,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,汇总,
10023598620629-智能手环,3596599565,华为手环B6,华为手环B6,商品,有效,jfs/t1/166226/9/16059/162150/6066ec6cE01a59ecf/f62cd238c4c663f1.jpg,10023598620629,https://item.jd.com/10023598620629.html,不限,350×350,13,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10023598620629-智能手环,3596599565,华为手环B6,华为手环B6,商品,有效,jfs/t1/166226/9/16059/162150/6066ec6cE01a59ecf/f62cd238c4c663f1.jpg,10023598620629,https://item.jd.com/10023598620629.html,不限,350×350,2,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
10023598620629-智能手环,3596599565,华为手环B6,华为手环B6,商品,有效,jfs/t1/166226/9/16059/162150/6066ec6cE01a59ecf/f62cd238c4c663f1.jpg,10023598620629,https://item.jd.com/10023598620629.html,不限,350×350,96,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,商品,
10023869017108-智能手表,3484739451,华为GT2PRO,华为GT2pro,商品,有效,jfs/t1/162048/13/13762/161960/6053fcd2E2324da0d/62bd1bcddf411fea.jpg,10023869017108,https://item.jd.com/10023869017108.html,不限,350×350,182,5,2.75,2.96,16.26,0.59,0,0.00,0,0.00,0,0.00,0,1,1,0.00,0.00,0.00,汇总,
